"﻿""proveedor""",codigo,descripcion,categoria
MOISES JUAREZ MORALES,038A,"REG 1"" COSTILLA HULE (038A)",Tubería y conexiones
MOISES JUAREZ MORALES,025A,REG 1/2 BARRIL HULE  (025A),Tubería y conexiones
MOISES JUAREZ MORALES,034A,REG 1/2 COSTILLA HULE  (034A),Tubería y conexiones
MOISES JUAREZ MORALES,0.958333333333333,REG 1/4 BARRIL HULE (023A),Tubería y conexiones
MOISES JUAREZ MORALES,032A,"REG 2"" BARRIL HULE  (032A)",Tubería y conexiones
MOISES JUAREZ MORALES,036A,REG 3/4 COSTILLA HULE (036A),Tubería y conexiones
MOISES JUAREZ MORALES,081A,REG 3/4 HONGO PLASTICO  (081A),Tubería y conexiones
MOISES JUAREZ MORALES,024A,REG 3/8 BARRIL HULE  (024A),Tubería y conexiones
MOISES JUAREZ MORALES,026A,REG 5/8 BARRIL HULE  (026A),Tubería y conexiones
MOISES JUAREZ MORALES,027A,REG3/4 BARRIL HULR  (027A),Tubería y conexiones
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",ACOPG318,ACOPLADORES RAPIDOS GONI MOD. 318,Tubería y conexiones
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",ACOPG320,ACOPLADORES RAPIDOS GONI MOD. 320,Tubería y conexiones
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",AGUILA,AGUILA (COD. 11238),"Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",ARCAP001,CAPITEL TROQUELADO P/ARCO,"Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",CERDO,CERDO( COD.11472),"Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GAR-12,"GARRA DE 1/2""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GARS12,GARRA DE SOL.  DE  1/2,"Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",LANC38,"LANZA CARAMELO 3/8""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",LANC12,"LANZA CARAMELO DE 1/2""","Herrería, forja y herrajes"
