"fila","proveedor","codigo","descripcion","existencia"
"239","ACEROS CORSA, S.A DE C.V","SOL6X25","SOLERA 1/4 X 1""","0"
"240","ACEROS CORSA, S.A DE C.V","SOL6X13","SOLERA 1/4 X 1/2""","0"
"241","ACEROS CORSA, S.A DE C.V","SOL6X50","SOLERA 1/4 X 2""","1"
"242","ACEROS CORSA, S.A DE C.V","SOL6X75","SOLERA 1/4 X 3""","0"
"243","ACEROS CORSA, S.A DE C.V","SOL6X19","SOLERA 1/4 X 3/4""","1"
"244","ACEROS CORSA, S.A DE C.V","SOL6X100","SOLERA 1/4 X 4""","0"
"245","ACEROS CORSA, S.A DE C.V","SOL6X150","SOLERA 1/4"" X 6""","0"
"246","ACEROS CORSA, S.A DE C.V","SOL3X38","SOLERA 1/8 X 1 1/2""","0"
"247","ACEROS CORSA, S.A DE C.V","SOL3X32","SOLERA 1/8 X 1 1/4""","0"
"248","ACEROS CORSA, S.A DE C.V","SOL3X25","SOLERA 1/8 X 1""","265.5"
"249","ACEROS CORSA, S.A DE C.V","SOL3X13","SOLERA 1/8 X 1/2""","1180"
"250","ACEROS CORSA, S.A DE C.V","SOL3X50","SOLERA 1/8 X 2""","114"
"251","ACEROS CORSA, S.A DE C.V","SOL3X19","SOLERA 1/8 X 3/4""","0"
"252","ACEROS CORSA, S.A DE C.V","SOL5X38","SOLERA 3/16 X 1 1/2""","0.5"
